                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1365,                 1.4844,                 1.5018,                0.69271,                0.59862,                0.61688,                0.30709,                  1.631,                 1.7872,                 2.3055,              0.0033309,              0.0033309,              0.0033309
                      2,                 1.0002,                0.95216,                  1.375,                0.75293,                0.63927,                0.66426,                0.31144,                 1.7554,                 1.5165,                 2.4177,              0.0066202,              0.0066202,              0.0066202
                      3,                 1.0175,                0.89384,                 1.3892,                0.72578,                0.61803,                0.63902,                0.32412,                  1.716,                 1.4422,                  2.391,              0.0098656,              0.0098656,              0.0098656
                      4,                 1.0093,                0.86752,                 1.3908,                0.71138,                0.64308,                0.64999,                0.30808,                 1.7562,                 1.4008,                 2.4018,               0.009802,               0.009802,               0.009802
                      5,                0.94178,                  0.793,                 1.3422,                 0.7757,                0.65874,                0.70918,                0.38113,                 1.5971,                 1.3285,                 2.2179,               0.009802,               0.009802,               0.009802
                      6,                0.89794,                0.75435,                 1.3152,                0.74933,                0.66562,                0.68239,                0.35778,                 1.5929,                 1.3513,                 2.2248,               0.009736,               0.009736,               0.009736
                      7,                0.87072,                0.72607,                 1.2926,                0.79616,                0.68234,                0.71838,                0.38687,                 1.5563,                 1.2309,                 2.2038,                0.00967,                0.00967,                0.00967
                      8,                0.85066,                0.70409,                 1.2817,                0.77821,                0.67439,                0.69404,                0.39189,                 1.4941,                 1.2485,                 2.1746,               0.009604,               0.009604,               0.009604
                      9,                0.83426,                0.68604,                 1.2674,                 0.8227,                0.68573,                0.74675,                0.42667,                 1.5187,                 1.1405,                  2.138,               0.009538,               0.009538,               0.009538
                     10,                0.82074,                0.67381,                 1.2614,                0.76752,                0.71113,                0.74334,                0.42315,                 1.5046,                 1.1671,                  2.103,               0.009472,               0.009472,               0.009472
                     11,                0.80237,                 0.6593,                  1.246,                0.79257,                0.69631,                0.72161,                0.40953,                 1.4853,                 1.1794,                 2.1362,               0.009406,               0.009406,               0.009406
                     12,                0.78963,                0.63999,                 1.2378,                0.79171,                0.71402,                 0.7529,                0.42802,                 1.4561,                 1.1536,                 2.0673,                0.00934,                0.00934,                0.00934
                     13,                0.78335,                0.63253,                  1.235,                0.80505,                0.71886,                0.74233,                  0.432,                 1.4706,                 1.0987,                 2.0934,               0.009274,               0.009274,               0.009274
                     14,                0.77561,                 0.6293,                 1.2292,                0.80522,                 0.7201,                0.75787,                0.43568,                 1.4491,                 1.1048,                 2.0725,               0.009208,               0.009208,               0.009208
                     15,                0.76766,                0.61642,                 1.2214,                0.83147,                0.71509,                0.74673,                0.44531,                 1.4136,                 1.0877,                 2.0342,               0.009142,               0.009142,               0.009142
                     16,                0.76186,                0.61397,                  1.218,                0.80449,                0.71697,                0.75597,                0.44547,                 1.4315,                   1.11,                 2.0371,               0.009076,               0.009076,               0.009076
                     17,                0.75315,                0.60085,                 1.2098,                0.80812,                0.73075,                0.76698,                 0.4684,                 1.3967,                 1.0644,                 2.0078,                0.00901,                0.00901,                0.00901
                     18,                0.74636,                0.59554,                 1.2082,                0.82791,                0.71696,                0.77015,                0.47236,                 1.3741,                 1.0418,                 1.9813,               0.008944,               0.008944,               0.008944
                     19,                 0.7437,                 0.5971,                 1.2068,                0.84321,                0.72073,                0.75175,                0.44902,                 1.3902,                 1.0258,                 2.0302,               0.008878,               0.008878,               0.008878
                     20,                  0.733,                0.58367,                 1.1982,                0.82871,                0.72404,                0.76466,                0.46354,                 1.3711,                 1.0159,                 2.0121,               0.008812,               0.008812,               0.008812
                     21,                0.72995,                0.58021,                 1.1983,                0.84222,                0.72531,                0.77193,                0.47793,                 1.3592,                  1.001,                 1.9825,               0.008746,               0.008746,               0.008746
                     22,                0.72883,                0.58014,                 1.1978,                0.82988,                0.74139,                0.77507,                 0.4742,                 1.3908,                0.99925,                 1.9929,                0.00868,                0.00868,                0.00868
                     23,                0.72619,                0.57687,                 1.1932,                0.82975,                0.73854,                0.78096,                0.47869,                 1.3648,                  1.018,                 1.9756,               0.008614,               0.008614,               0.008614
                     24,                0.71926,                0.57306,                 1.1905,                0.85106,                0.73349,                0.78458,                0.48654,                  1.343,                 1.0042,                 1.9698,               0.008548,               0.008548,               0.008548
                     25,                 0.7168,                0.56834,                 1.1901,                0.83605,                0.74703,                0.78198,                0.48734,                 1.3436,                0.98561,                 1.9572,               0.008482,               0.008482,               0.008482
                     26,                 0.7133,                0.56515,                 1.1906,                0.84468,                0.74452,                0.78272,                0.48751,                 1.3272,                0.96798,                 1.9577,               0.008416,               0.008416,               0.008416
                     27,                 0.7105,                0.56161,                 1.1836,                0.85946,                0.72374,                0.78069,                0.49111,                 1.3129,                0.97164,                 1.9298,                0.00835,                0.00835,                0.00835
                     28,                0.70619,                0.55867,                 1.1816,                0.83585,                0.73763,                0.78435,                0.49557,                 1.3113,                0.96742,                 1.9331,               0.008284,               0.008284,               0.008284
                     29,                0.70195,                0.55611,                 1.1807,                0.84054,                0.73933,                0.78472,                0.49142,                 1.3171,                0.97264,                 1.9523,               0.008218,               0.008218,               0.008218
                     30,                0.70114,                0.55647,                 1.1782,                0.82845,                0.74515,                0.78614,                0.49822,                 1.3056,                 0.9673,                 1.9316,               0.008152,               0.008152,               0.008152
                     31,                0.70104,                0.55248,                 1.1801,                0.85246,                0.73085,                0.78487,                0.49602,                 1.3182,                0.96173,                 1.9478,               0.008086,               0.008086,               0.008086
                     32,                0.70022,                0.54944,                 1.1779,                0.84832,                0.73894,                0.78938,                0.49895,                 1.3132,                 0.9572,                 1.9356,                0.00802,                0.00802,                0.00802
                     33,                0.69338,                0.54308,                 1.1713,                0.84828,                0.75078,                0.79254,                0.50267,                 1.3171,                0.95113,                 1.9342,               0.007954,               0.007954,               0.007954
                     34,                0.69298,                0.53996,                 1.1713,                0.83153,                0.75413,                0.78953,                0.50284,                 1.3102,                0.94646,                 1.9247,               0.007888,               0.007888,               0.007888
                     35,                0.68412,                0.53398,                 1.1659,                0.83376,                0.74118,                0.78769,                0.50097,                  1.313,                0.94691,                 1.9342,               0.007822,               0.007822,               0.007822
                     36,                0.68879,                0.53764,                 1.1702,                 0.8359,                0.74264,                0.78948,                0.50354,                  1.316,                0.94374,                 1.9403,               0.007756,               0.007756,               0.007756
                     37,                0.68742,                0.53418,                 1.1684,                 0.8415,                0.73575,                 0.7889,                0.50613,                 1.3111,                0.94037,                 1.9357,                0.00769,                0.00769,                0.00769
                     38,                0.68606,                0.53214,                 1.1676,                0.84364,                0.74076,                0.79093,                0.50652,                 1.3076,                0.93557,                 1.9316,               0.007624,               0.007624,               0.007624
                     39,                0.67847,                0.53103,                 1.1617,                0.85118,                0.73421,                0.78987,                0.50762,                 1.3039,                0.93395,                   1.93,               0.007558,               0.007558,               0.007558
                     40,                 0.6804,                0.53045,                 1.1644,                0.84826,                0.73859,                0.79162,                0.50578,                  1.304,                0.93198,                 1.9344,               0.007492,               0.007492,               0.007492
                     41,                 0.6781,                0.52512,                 1.1633,                0.84233,                0.73932,                0.79099,                0.50406,                 1.3062,                0.93147,                 1.9371,               0.007426,               0.007426,               0.007426
                     42,                0.67193,                0.52101,                 1.1572,                0.83539,                0.74677,                0.78818,                0.50384,                 1.3027,                0.93563,                 1.9326,                0.00736,                0.00736,                0.00736
                     43,                0.66938,                0.52369,                 1.1584,                0.83244,                0.74658,                0.78735,                0.50495,                 1.3042,                0.93852,                  1.933,               0.007294,               0.007294,               0.007294
                     44,                0.67003,                 0.5175,                 1.1579,                0.83824,                0.74629,                0.78728,                0.50368,                 1.3026,                0.93732,                 1.9311,               0.007228,               0.007228,               0.007228
                     45,                0.67181,                0.51909,                 1.1589,                0.83984,                0.74389,                0.78754,                 0.5024,                 1.3005,                0.93541,                  1.932,               0.007162,               0.007162,               0.007162
                     46,                0.66625,                0.51507,                  1.156,                0.86056,                0.72651,                0.78761,                0.50412,                 1.3003,                0.93369,                 1.9339,               0.007096,               0.007096,               0.007096
                     47,                0.66373,                0.51324,                  1.154,                0.85155,                0.73388,                0.78626,                0.50454,                 1.3003,                0.93471,                 1.9339,                0.00703,                0.00703,                0.00703
                     48,                0.65785,                 0.5108,                 1.1513,                0.85807,                0.73325,                0.78728,                0.50421,                  1.299,                0.93081,                 1.9329,               0.006964,               0.006964,               0.006964
                     49,                 0.6666,                0.51216,                 1.1568,                0.85053,                0.74014,                0.78749,                0.50452,                 1.2996,                0.92745,                 1.9328,               0.006898,               0.006898,               0.006898
                     50,                0.65532,                0.50674,                 1.1493,                0.85304,                0.73889,                0.78967,                0.50392,                 1.2979,                0.92592,                  1.932,               0.006832,               0.006832,               0.006832
                     51,                0.65968,                0.50965,                 1.1511,                0.85229,                0.73889,                0.79173,                 0.5049,                 1.2985,                0.92489,                 1.9328,               0.006766,               0.006766,               0.006766
                     52,                 0.6604,                0.50994,                 1.1514,                0.84709,                0.73888,                0.79009,                0.50529,                 1.2962,                0.92356,                 1.9312,                 0.0067,                 0.0067,                 0.0067
                     53,                0.66026,                0.50749,                 1.1525,                0.84753,                0.74139,                0.79253,                0.50481,                 1.2956,                0.92303,                 1.9312,               0.006634,               0.006634,               0.006634
                     54,                0.65222,                0.49979,                 1.1453,                0.84878,                 0.7381,                0.79063,                0.50444,                 1.2947,                0.92305,                 1.9297,               0.006568,               0.006568,               0.006568
                     55,                0.65496,                0.50921,                 1.1493,                0.84398,                0.74452,                0.79044,                0.50455,                 1.2939,                0.92235,                 1.9292,               0.006502,               0.006502,               0.006502
                     56,                0.64781,                0.50074,                 1.1421,                0.83939,                0.74515,                0.78831,                0.50474,                 1.2936,                0.92261,                 1.9295,               0.006436,               0.006436,               0.006436
                     57,                0.64804,                0.49585,                 1.1425,                 0.8402,                0.74737,                0.78884,                0.50527,                 1.2923,                0.92079,                 1.9282,                0.00637,                0.00637,                0.00637
                     58,                0.64367,                0.49241,                  1.139,                0.84048,                0.74577,                 0.7886,                0.50589,                 1.2935,                0.91832,                 1.9297,               0.006304,               0.006304,               0.006304
                     59,                0.64541,                0.49536,                 1.1421,                0.83801,                0.74506,                0.78839,                0.50628,                 1.2924,                 0.9179,                 1.9287,               0.006238,               0.006238,               0.006238
                     60,                0.64416,                0.49311,                 1.1427,                0.84288,                0.74327,                0.78869,                0.50636,                 1.2904,                0.91576,                 1.9271,               0.006172,               0.006172,               0.006172
                     61,                0.64345,                0.49024,                 1.1416,                0.84304,                 0.7464,                0.78957,                0.50639,                 1.2905,                  0.914,                 1.9279,               0.006106,               0.006106,               0.006106
                     62,                0.64168,                0.49313,                 1.1393,                0.84445,                0.74786,                0.79282,                0.50696,                 1.2903,                0.91223,                  1.929,                0.00604,                0.00604,                0.00604
                     63,                0.63858,                0.48732,                 1.1381,                0.84367,                0.75016,                0.79286,                0.50723,                   1.29,                0.91268,                 1.9294,               0.005974,               0.005974,               0.005974
                     64,                 0.6404,                0.48829,                 1.1383,                0.84892,                0.74592,                0.79224,                0.50837,                 1.2886,                0.91207,                 1.9283,               0.005908,               0.005908,               0.005908
                     65,                0.63818,                0.48502,                  1.135,                0.85077,                0.74613,                0.79415,                0.50897,                 1.2878,                0.91179,                 1.9282,               0.005842,               0.005842,               0.005842
                     66,                0.63732,                0.48382,                 1.1338,                 0.8455,                0.74828,                0.79468,                 0.5099,                 1.2857,                0.91229,                 1.9257,               0.005776,               0.005776,               0.005776
                     67,                0.63995,                0.48595,                 1.1361,                0.83884,                0.75612,                0.79322,                0.51047,                 1.2842,                0.91223,                  1.925,                0.00571,                0.00571,                0.00571
                     68,                0.62926,                0.47593,                 1.1286,                0.84775,                0.74616,                0.79458,                0.51063,                 1.2835,                0.91171,                 1.9248,               0.005644,               0.005644,               0.005644
                     69,                0.63259,                0.48449,                 1.1343,                0.84049,                0.75892,                0.79525,                0.51122,                 1.2824,                0.91214,                 1.9238,               0.005578,               0.005578,               0.005578
