                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.3194,                 1.6455,                 1.5761,                  0.611,                0.51535,                0.50522,                0.23884,                 1.8386,                 2.1742,                 2.5718,             0.00066398,             0.00066398,             0.00066398
                      2,                  1.316,                 1.2946,                 1.5721,                0.64385,                0.55674,                0.55784,                 0.2466,                 1.8126,                 1.9161,                 2.3319,              0.0013175,              0.0013175,              0.0013175
                      3,                 1.3121,                 1.2187,                  1.566,                 0.5666,                0.56475,                 0.5083,                0.24427,                 1.9113,                 1.7686,                 2.4834,              0.0019578,              0.0019578,              0.0019578
                      4,                 1.2752,                 1.1487,                 1.5432,                0.53207,                0.54339,                0.51395,                0.29094,                 1.7148,                 1.9103,                 2.2592,              0.0019406,              0.0019406,              0.0019406
                      5,                 1.2158,                 1.0774,                  1.501,                0.73391,                0.54132,                 0.6197,                0.37477,                 1.6556,                 1.5551,                 2.2548,              0.0019406,              0.0019406,              0.0019406
                      6,                 1.1773,                 1.0295,                  1.474,                0.75257,                0.61415,                0.68427,                0.36517,                 1.7253,                 1.4629,                 2.2394,              0.0019208,              0.0019208,              0.0019208
                      7,                 1.1452,                0.98679,                 1.4476,                0.66232,                0.57276,                0.56275,                0.33616,                  1.705,                 1.6585,                  2.391,               0.001901,               0.001901,               0.001901
                      8,                 1.1276,                0.95669,                 1.4308,                0.71094,                0.58449,                0.63811,                0.32956,                 1.8206,                 1.4793,                 2.3572,              0.0018812,              0.0018812,              0.0018812
                      9,                 1.1048,                0.94602,                 1.4264,                0.64866,                0.53271,                 0.5754,                0.34427,                 1.7234,                 1.5451,                 2.2573,              0.0018614,              0.0018614,              0.0018614
                     10,                 1.0907,                0.91475,                  1.406,                0.73739,                 0.5781,                0.63102,                0.39437,                 1.7187,                 1.3771,                 2.2938,              0.0018416,              0.0018416,              0.0018416
                     11,                 1.0662,                0.88106,                  1.391,                0.73121,                0.64619,                0.70117,                0.40358,                 1.6456,                 1.2908,                 2.1065,              0.0018218,              0.0018218,              0.0018218
                     12,                 1.0566,                 0.8772,                 1.3821,                0.73363,                 0.6769,                0.69194,                0.42066,                 1.5373,                 1.2942,                 2.0904,               0.001802,               0.001802,               0.001802
                     13,                 1.0505,                0.85948,                 1.3795,                0.84321,                 0.6462,                0.73457,                 0.4531,                 1.5443,                  1.158,                 2.0725,              0.0017822,              0.0017822,              0.0017822
                     14,                 1.0495,                0.86203,                 1.3911,                0.81467,                0.67493,                0.73604,                0.46063,                 1.5014,                 1.2078,                 2.0619,              0.0017624,              0.0017624,              0.0017624
                     15,                 1.0366,                0.83863,                 1.3713,                0.82456,                0.69292,                0.75823,                0.46097,                 1.5337,                 1.1068,                 2.0638,              0.0017426,              0.0017426,              0.0017426
                     16,                 1.0234,                0.84002,                 1.3652,                0.83627,                0.69559,                0.76146,                0.46783,                 1.4898,                 1.1286,                  2.033,              0.0017228,              0.0017228,              0.0017228
                     17,                  1.014,                0.81307,                 1.3509,                0.81691,                0.69292,                0.72308,                0.46182,                 1.5031,                 1.1571,                  2.051,               0.001703,               0.001703,               0.001703
                     18,                 1.0076,                0.80454,                 1.3427,                 0.7911,                0.67752,                0.72705,                0.46584,                 1.4658,                 1.0908,                 2.0815,              0.0016832,              0.0016832,              0.0016832
                     19,                 0.9877,                0.79098,                 1.3352,                0.84154,                0.65941,                0.71891,                0.45914,                 1.4641,                 1.2117,                 2.0209,              0.0016634,              0.0016634,              0.0016634
                     20,                0.98663,                0.77742,                 1.3331,                0.82831,                0.68276,                0.76768,                0.48067,                 1.4473,                 1.0994,                 1.9754,              0.0016436,              0.0016436,              0.0016436
                     21,                0.96713,                0.77334,                 1.3252,                0.83923,                0.68625,                0.76631,                0.48301,                 1.4273,                 1.0961,                 1.9497,              0.0016238,              0.0016238,              0.0016238
                     22,                0.97489,                0.76117,                 1.3246,                0.76805,                0.66755,                0.73277,                0.48395,                 1.4126,                 1.1547,                 1.9431,               0.001604,               0.001604,               0.001604
                     23,                0.95849,                 0.7525,                 1.3173,                0.75228,                0.66088,                0.70729,                 0.4511,                 1.4623,                 1.1402,                 2.0013,              0.0015842,              0.0015842,              0.0015842
                     24,                0.95081,                0.74831,                 1.3154,                0.81761,                0.68228,                0.73073,                0.47811,                 1.4195,                 1.0679,                  1.979,              0.0015644,              0.0015644,              0.0015644
                     25,                0.96033,                0.75631,                 1.3164,                0.81071,                 0.6576,                0.73861,                 0.4747,                 1.4222,                 1.1371,                 1.9477,              0.0015446,              0.0015446,              0.0015446
